Tweet_count,Username,Text,Created At,Retweets,Likes
92,Manuel Lopez San Martin,"🚨 Reportan un muerto y varios heridos por una liberación de sulfuro de hidrógeno en la planta de #Pemex en Deer Park 

Las autoridades locales emitieron una orden de refugio https://t.co/aPh9dRMvyK",Fri Oct 11 00:43:00 +0000 2024,273,374
93,AG STUDIOS,"In cinemas Now !!!
#Martin https://t.co/sLHAGK17qJ",Fri Oct 11 04:27:04 +0000 2024,5,19
94,Fear is Real,"Anchor did not mention NTR Name but Dhrva Said I Favourite is Jr NTR Sir thanks man
All the Best @DhruvaSarja 😍😍

#Martin https://t.co/EZDldmw8W3",Fri Oct 11 02:12:56 +0000 2024,1387,7903
95,Pandu - గోదావరి కుర్రోడు,"8.15am Show Cancelled 😢
Mythri Theatres(Vimal), Balanagar

Distributor Issues anta. Chi Dinemma Nidra bokka, Petrol bokka 😠 Back to Hostel - Hitech City 🚶

#Martin @DhruvaSarja #MartinOnOct11th https://t.co/Fso7dKqurr",Fri Oct 11 03:09:41 +0000 2024,0,1
96,I ᗩᗰ GᗩYᗩKᗩᗯᗩᗪ18,"ACTION ACTION ACTION 🔥🔥💥💥
NEXT LEVEL BOSSUUU😍😍💪💪
TWIST MEL TWIST 🤯🤯💥💥

DON'T MISS 💥🤯💪

#Martin #MartinTheMovie #DhruvaSarja @DhruvaSarja @AP_Arjun_film https://t.co/xbQf5gwoVY",Fri Oct 11 07:15:37 +0000 2024,2,28
97,Martín 🇦🇱,"Tadinho do Corinthians, só ele é prejudicado pelo horroroso Anderson Daronco…
https://t.co/K20lPzpdpn",Fri Oct 11 19:04:58 +0000 2024,279,2625
98,Cinephiles_Spotlight,"Dussehra Releases - Telugu States.

#Vettaiyan – OCT 10
#Viswam – OCT 11
#MaaNannaSuperhero – OCT 11
#Jigra – OCT 11
#Martin – OCT 11
#JanakaAitheGanaka – OCT 12 https://t.co/f7PNDcGRS2",Sun Oct 06 09:40:59 +0000 2024,0,13
99,•,You’re lying if you say you don’t miss watch Martin Odegaard play football https://t.co/v6OfitcO3W,Sat Oct 12 07:07:40 +0000 2024,4,103
100,AG STUDIOS,"#Martin From Tomorrow!!
Theater list ✨ https://t.co/6p8209rj6H",Thu Oct 10 04:23:14 +0000 2024,3,18
101,Idafe Martín Pérez ✍️🎙️🏊‍♂️ 🚴 🏃‍♂️,"Chiringuito Juanita Banana 
Contenedor amarillo 
Atlas Network 

tengo una flauta https://t.co/otQ85go23P",Sat Oct 12 11:20:01 +0000 2024,5,19
102,Tamil Cinema Hub,"#Martin 🎬 Worldwide From Today (2024 October 11) 👍

@DhruvaSarja @princekukm @AP_Arjun_film
@I_am_Vaibhavi @RaviBasrur @Martinthemoviee @akarjunofficial  @AnveshiJain25 @teamaimpr https://t.co/r7CFLUdfp5",Fri Oct 11 07:45:55 +0000 2024,1,7
103,Antonio Martín Ortiz,"@ACConde_ Genial todo, Estimada y Admirada Profesora. Vuelve otra vez el Inagotable Schelling y sus ""Edades del Mundo"".
Sigo con la lectura del Valioso Estudio sobre la Muerte . Es un Tesoro con siempre Nuevas Ideas.
☆Las Mayúsculas son intencionadas☆ https://t.co/Yghpv8GxPE",Fri Oct 11 14:33:50 +0000 2024,0,0
104,RAJA KRISHNAPPA BAIRYA,"Thumba Budget + Efforts Haki 150Days Shoot Madi Ond Movie Thegdidare Result Evathu Gothaguthe 

All The Best Team Martin From KFI And #YashBOSS Fans❤️‍🔥

#Martin #DhruvaSarja 
https://t.co/eNMOD9Yaco https://t.co/NHesjQknEM",Fri Oct 11 04:35:12 +0000 2024,12,126
105,Clarín,"Facundo, el hijo desconocido de Martín Demichelis, contó toda su verdad https://t.co/PQFy6ZtfvS https://t.co/Dqi8fw5fY6",Fri Oct 11 15:59:36 +0000 2024,17,138
106,Carlos Martin Huerta,"🚨Murió un caballo atropellado en el periférico, a la altura de la federal a Atlixco, con sentido a Cholula https://t.co/FNH6EYf3uD",Sat Oct 12 00:59:53 +0000 2024,19,128
107,Martin.,#norrsken #northernlights #sweden https://t.co/3YxdoIO5OH,Fri Oct 11 03:55:03 +0000 2024,0,1
108,Jonathan Martin,"Via The Chief 

@adamnagourney 

https://t.co/jki6nReWlA https://t.co/TXMdU8Kmlp",Fri Oct 11 14:38:15 +0000 2024,2,6
109,Carlos Martin Huerta,"📹 Pide César Contreras justicia para su hijo, el motociclista atropellado ayer por una unidad de la Ruta Loma Bella en la 25 poniente y 16 de Septiembre; la Secretaría de Movilidad interviene para el pago de gastos médicos #AsíSucede https://t.co/O1icWLNZKi",Thu Oct 10 15:00:03 +0000 2024,98,272
110,Futbol de Inglaterra,"Erling Haaland en una llamada con Martín Odegaard: 

“Hola Ødda! Tú crees que el Arsenal alguna día ganará la UEFA Champions League?” 🫵😭 https://t.co/e3xsAXZZjc",Thu Oct 10 15:44:44 +0000 2024,175,7773
111,Flor 🤍❤️🤍,"COMO MIERDA VAS A CAGAR A LA MUJER MAS HERMOSA DEL PAIS??? COMO VAS A CAGAR A EVANGELINA ANDERSON????????? 
MARTIN DEMICHELIS SOS UN HIJO DE MIL PUTA https://t.co/JudcgjCM19",Thu Oct 10 02:06:29 +0000 2024,557,7102
112,Gus. 𝕏,"KGF series be like : 

#Martin #kabza 💀 https://t.co/PvqP2RmaVP",Sat Oct 12 07:17:52 +0000 2024,19,98
113,𝙘𝙤𝙣𝙛𝙪𝙨𝙚𝙙,"Audience are in Trauma 🤒🤢

#Martin https://t.co/xitXmiakSm",Fri Oct 11 13:30:04 +0000 2024,58,233
114,Vikas,"What was the thought process of #Martin team behind releasing the trailer in Korean russian etc but not in Kannada
You are releasing trailers in languages which are not even releasing but not in original language and expect people to buy tickets 👎 Only Wom can save the movie now https://t.co/fxhdrawYLF",Tue Oct 08 13:01:39 +0000 2024,3,24
115,Margo Martin,"HUGE overflow crowd in Aurora, CO!!! https://t.co/5oIVIbpQsD",Fri Oct 11 20:10:33 +0000 2024,1642,7339
116,𝐇𝐔𝐍𝐓𝐄𝐑𓃵 ᴹᴬᴿᵀᴵᴺ,"@DhruvaSarja
#HappyBirthdayActionPrince
#Martin
#MartinTheMovie #DhruvaSarja 
#MartinReleasingOnOct11th https://t.co/swUAy6S2Ew",Sun Oct 06 14:50:55 +0000 2024,2,15
117,MJ Cartels,"Films Views: 
- #Vettaiyan Theme is good
- #MaNannaSuperHero: Actors performed well, but outdated 
- #JanakaAitheGanaka Not upto mark 
- #Viswam Hard Comedy 
- #Jigra Flat bro sis story 
- #Martin Good Action 
- #Black Good Twists 
- #VickyVidyaKaWohWalaVideo
No story just fun https://t.co/fUFD2YM7j7",Fri Oct 11 03:43:37 +0000 2024,4,11
118,Martin Maranja Masese,Mwaka kesho wakati kama huu lazima tuoe.. ngoja tuone mwaka utakavyopinduka. 😎 https://t.co/s1yDX0x4wU,Fri Oct 11 17:28:58 +0000 2024,105,1904
119,Ejército del Aire y del Espacio,"🔴 ÚLTIMA HORA | Lamentamos comunicar que se ha confirmado en el accidente del F-18 el fallecimiento de nuestro compañero, el teniente coronel Pablo Estrada Martín, destinado en el Ala 12.

Nos unimos al dolor de sus familiares y amigos. Descansa en paz, compañero. https://t.co/OUim93TANr",Fri Oct 04 12:22:26 +0000 2024,2137,13224
